titulo,texto,data,fonte,url,origem,aspecto,sentimento,analises_detalhadas,relevancia,candidatos,regiao,tema,candidatos_mencionados
Rodrigo Pacheco aprova medidas sobre congresso em Norte,"Em pronunciamento hoje, Rodrigo Pacheco aprova um conjunto de medidas relacionadas a congresso. Durante evento em Norte, o político destacou a importância de priorizar este tema. Cláudio Castro também comentou sobre o assunto, expressando opinião contrária. ",2025-05-14,BBC,https://exemplo.com/bbc/congresso/8,BBC Brasil,congresso,neutro,"[{'texto': 'Rodrigo Pacheco aprova medidas sobre congresso em Norte', 'aspecto': 'congresso', 'sentimento': 'neutro', 'relevancia': 1}, {'texto': 'Em pronunciamento hoje, Rodrigo Pacheco aprova um conjunto de medidas relacionadas a congresso.', 'aspecto': 'congresso', 'sentimento': 'neutro', 'relevancia': 1}, {'texto': 'Durante evento em Norte, o político destacou a importância de priorizar este tema.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Cláudio Castro também comentou sobre o assunto, expressando opinião contrária.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}]",4,,Norte,congresso,"['Rodrigo Pacheco', 'Cláudio Castro']"
Cláudio Castro discute medidas sobre segurança em Norte,"Em pronunciamento hoje, Cláudio Castro discute um conjunto de medidas relacionadas a segurança. Durante evento em Norte, o político destacou a importância de priorizar este tema. Rodrigo Pacheco também comentou sobre o assunto, expressando opinião contrária. O projeto pretende aumentar o efetivo policial e modernizar equipamentos. ",2025-05-15,BBC,https://exemplo.com/bbc/segurança/9,BBC Brasil,outros,neutro,"[{'texto': 'Cláudio Castro discute medidas sobre segurança em Norte', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Em pronunciamento hoje, Cláudio Castro discute um conjunto de medidas relacionadas a segurança.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Durante evento em Norte, o político destacou a importância de priorizar este tema.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Rodrigo Pacheco também comentou sobre o assunto, expressando opinião contrária.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'O projeto pretende aumentar o efetivo policial e modernizar equipamentos.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}]",5,,Norte,segurança,"['Cláudio Castro', 'Rodrigo Pacheco']"
Lula anuncia medidas sobre reforma em Minas Gerais,"Em pronunciamento hoje, Lula anuncia um conjunto de medidas relacionadas a reforma. Durante evento em Minas Gerais, o político destacou a importância de priorizar este tema. Rodrigo Pacheco também comentou sobre o assunto, expressando opinião contrária. ",2025-06-07,BBC,https://exemplo.com/bbc/reforma/10,BBC Brasil,outros,neutro,"[{'texto': 'Lula anuncia medidas sobre reforma em Minas Gerais', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Em pronunciamento hoje, Lula anuncia um conjunto de medidas relacionadas a reforma.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Durante evento em Minas Gerais, o político destacou a importância de priorizar este tema.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Rodrigo Pacheco também comentou sobre o assunto, expressando opinião contrária.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}]",4,,Minas Gerais,reforma,"['Lula', 'Rodrigo Pacheco']"
Eduardo Leite apresenta medidas sobre corrupção em Brasília,"Em pronunciamento hoje, Eduardo Leite apresenta um conjunto de medidas relacionadas a corrupção. Durante evento em Brasília, o político destacou a importância de priorizar este tema. Rodrigo Pacheco também comentou sobre o assunto, expressando opinião contrária. As propostas incluem maior transparência e mecanismos de controle. ",2025-06-02,BBC,https://exemplo.com/bbc/corrupção/11,BBC Brasil,outros,neutro,"[{'texto': 'Eduardo Leite apresenta medidas sobre corrupção em Brasília', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Em pronunciamento hoje, Eduardo Leite apresenta um conjunto de medidas relacionadas a corrupção.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Durante evento em Brasília, o político destacou a importância de priorizar este tema.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Rodrigo Pacheco também comentou sobre o assunto, expressando opinião contrária.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'As propostas incluem maior transparência e mecanismos de controle.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}]",5,,Brasília,corrupção,"['Eduardo Leite', 'Rodrigo Pacheco']"
Arthur Lira anuncia medidas sobre economia em Rio de Janeiro,"Em pronunciamento hoje, Arthur Lira anuncia um conjunto de medidas relacionadas a economia. Durante evento em Rio de Janeiro, o político destacou a importância de priorizar este tema. Cláudio Castro também comentou sobre o assunto, expressando opinião contrária. A proposta inclui redução de impostos e incentivos para pequenas empresas. ",2025-05-25,BBC,https://exemplo.com/bbc/economia/12,BBC Brasil,economia,neutro,"[{'texto': 'Arthur Lira anuncia medidas sobre economia em Rio de Janeiro', 'aspecto': 'economia', 'sentimento': 'neutro', 'relevancia': 1}, {'texto': 'Em pronunciamento hoje, Arthur Lira anuncia um conjunto de medidas relacionadas a economia.', 'aspecto': 'economia', 'sentimento': 'neutro', 'relevancia': 1}, {'texto': 'Durante evento em Rio de Janeiro, o político destacou a importância de priorizar este tema.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Cláudio Castro também comentou sobre o assunto, expressando opinião contrária.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'A proposta inclui redução de impostos e incentivos para pequenas empresas.', 'aspecto': 'economia', 'sentimento': 'neutro', 'relevancia': 1}]",5,,Rio de Janeiro,economia,"['Arthur Lira', 'Cláudio Castro']"
Eduardo Leite veta medidas sobre corrupção em Amazonas,"Em pronunciamento hoje, Eduardo Leite veta um conjunto de medidas relacionadas a corrupção. Durante evento em Amazonas, o político destacou a importância de priorizar este tema. Lula também comentou sobre o assunto, expressando opinião contrária. As propostas incluem maior transparência e mecanismos de controle. ",2025-05-23,UOL,https://exemplo.com/uol/corrupção/1,UOL Notícias,outros,neutro,"[{'texto': 'Eduardo Leite veta medidas sobre corrupção em Amazonas', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Em pronunciamento hoje, Eduardo Leite veta um conjunto de medidas relacionadas a corrupção.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Durante evento em Amazonas, o político destacou a importância de priorizar este tema.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Lula também comentou sobre o assunto, expressando opinião contrária.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'As propostas incluem maior transparência e mecanismos de controle.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}]",5,,Amazonas,corrupção,"['Eduardo Leite', 'Lula']"
Rodrigo Pacheco veta medidas sobre educação em Centro-Oeste,"Em pronunciamento hoje, Rodrigo Pacheco veta um conjunto de medidas relacionadas a educação. Durante evento em Centro-Oeste, o político destacou a importância de priorizar este tema. Eduardo Leite também comentou sobre o assunto, expressando opinião contrária. O plano prevê investimentos em escolas públicas e valorização dos professores. ",2025-05-14,UOL,https://exemplo.com/uol/educação/2,UOL Notícias,outros,neutro,"[{'texto': 'Rodrigo Pacheco veta medidas sobre educação em Centro-Oeste', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Em pronunciamento hoje, Rodrigo Pacheco veta um conjunto de medidas relacionadas a educação.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Durante evento em Centro-Oeste, o político destacou a importância de priorizar este tema.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Eduardo Leite também comentou sobre o assunto, expressando opinião contrária.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'O plano prevê investimentos em escolas públicas e valorização dos professores.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}]",5,,Centro-Oeste,educação,"['Rodrigo Pacheco', 'Eduardo Leite']"
Arthur Lira apresenta medidas sobre educação em Bahia,"Em pronunciamento hoje, Arthur Lira apresenta um conjunto de medidas relacionadas a educação. Durante evento em Bahia, o político destacou a importância de priorizar este tema. Tarcísio de Freitas também comentou sobre o assunto, expressando opinião contrária. O plano prevê investimentos em escolas públicas e valorização dos professores. ",2025-05-26,UOL,https://exemplo.com/uol/educação/3,UOL Notícias,outros,neutro,"[{'texto': 'Arthur Lira apresenta medidas sobre educação em Bahia', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Em pronunciamento hoje, Arthur Lira apresenta um conjunto de medidas relacionadas a educação.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Durante evento em Bahia, o político destacou a importância de priorizar este tema.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Tarcísio de Freitas também comentou sobre o assunto, expressando opinião contrária.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'O plano prevê investimentos em escolas públicas e valorização dos professores.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}]",5,,Bahia,educação,"['Arthur Lira', 'Tarcísio de Freitas']"
Eduardo Leite aprova medidas sobre reforma em Centro-Oeste,"Em pronunciamento hoje, Eduardo Leite aprova um conjunto de medidas relacionadas a reforma. Durante evento em Centro-Oeste, o político destacou a importância de priorizar este tema. Arthur Lira também comentou sobre o assunto, expressando opinião contrária. ",2025-05-16,UOL,https://exemplo.com/uol/reforma/4,UOL Notícias,outros,neutro,"[{'texto': 'Eduardo Leite aprova medidas sobre reforma em Centro-Oeste', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Em pronunciamento hoje, Eduardo Leite aprova um conjunto de medidas relacionadas a reforma.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Durante evento em Centro-Oeste, o político destacou a importância de priorizar este tema.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Arthur Lira também comentou sobre o assunto, expressando opinião contrária.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}]",4,,Centro-Oeste,reforma,"['Eduardo Leite', 'Arthur Lira']"
Tarcísio de Freitas defende medidas sobre economia em Bahia,"Em pronunciamento hoje, Tarcísio de Freitas defende um conjunto de medidas relacionadas a economia. Durante evento em Bahia, o político destacou a importância de priorizar este tema. Lula também comentou sobre o assunto, expressando opinião contrária. A proposta inclui redução de impostos e incentivos para pequenas empresas. ",2025-05-22,UOL,https://exemplo.com/uol/economia/5,UOL Notícias,economia,neutro,"[{'texto': 'Tarcísio de Freitas defende medidas sobre economia em Bahia', 'aspecto': 'economia', 'sentimento': 'neutro', 'relevancia': 1}, {'texto': 'Em pronunciamento hoje, Tarcísio de Freitas defende um conjunto de medidas relacionadas a economia.', 'aspecto': 'economia', 'sentimento': 'neutro', 'relevancia': 1}, {'texto': 'Durante evento em Bahia, o político destacou a importância de priorizar este tema.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Lula também comentou sobre o assunto, expressando opinião contrária.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'A proposta inclui redução de impostos e incentivos para pequenas empresas.', 'aspecto': 'economia', 'sentimento': 'neutro', 'relevancia': 1}]",5,,Bahia,economia,"['Tarcísio de Freitas', 'Lula']"
Lula aprova medidas sobre inflação em Norte,"Em pronunciamento hoje, Lula aprova um conjunto de medidas relacionadas a inflação. Durante evento em Norte, o político destacou a importância de priorizar este tema. Tarcísio de Freitas também comentou sobre o assunto, expressando opinião contrária. ",2025-05-25,UOL,https://exemplo.com/uol/inflação/6,UOL Notícias,outros,neutro,"[{'texto': 'Lula aprova medidas sobre inflação em Norte', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Em pronunciamento hoje, Lula aprova um conjunto de medidas relacionadas a inflação.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Durante evento em Norte, o político destacou a importância de priorizar este tema.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Tarcísio de Freitas também comentou sobre o assunto, expressando opinião contrária.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}]",4,,Norte,inflação,"['Lula', 'Tarcísio de Freitas']"
Tarcísio de Freitas questiona medidas sobre segurança em Norte,"Em pronunciamento hoje, Tarcísio de Freitas questiona um conjunto de medidas relacionadas a segurança. Durante evento em Norte, o político destacou a importância de priorizar este tema. Lula também comentou sobre o assunto, expressando opinião contrária. O projeto pretende aumentar o efetivo policial e modernizar equipamentos. ",2025-05-12,UOL,https://exemplo.com/uol/segurança/7,UOL Notícias,outros,neutro,"[{'texto': 'Tarcísio de Freitas questiona medidas sobre segurança em Norte', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Em pronunciamento hoje, Tarcísio de Freitas questiona um conjunto de medidas relacionadas a segurança.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Durante evento em Norte, o político destacou a importância de priorizar este tema.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Lula também comentou sobre o assunto, expressando opinião contrária.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'O projeto pretende aumentar o efetivo policial e modernizar equipamentos.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}]",5,,Norte,segurança,"['Tarcísio de Freitas', 'Lula']"
Tarcísio de Freitas rejeita medidas sobre congresso em Bahia,"Em pronunciamento hoje, Tarcísio de Freitas rejeita um conjunto de medidas relacionadas a congresso. Durante evento em Bahia, o político destacou a importância de priorizar este tema. Eduardo Leite também comentou sobre o assunto, expressando opinião contrária. ",2025-06-01,UOL,https://exemplo.com/uol/congresso/8,UOL Notícias,congresso,neutro,"[{'texto': 'Tarcísio de Freitas rejeita medidas sobre congresso em Bahia', 'aspecto': 'congresso', 'sentimento': 'neutro', 'relevancia': 1}, {'texto': 'Em pronunciamento hoje, Tarcísio de Freitas rejeita um conjunto de medidas relacionadas a congresso.', 'aspecto': 'congresso', 'sentimento': 'neutro', 'relevancia': 1}, {'texto': 'Durante evento em Bahia, o político destacou a importância de priorizar este tema.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Eduardo Leite também comentou sobre o assunto, expressando opinião contrária.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}]",4,,Bahia,congresso,"['Tarcísio de Freitas', 'Eduardo Leite']"
Tarcísio de Freitas propõe medidas sobre congresso em Norte,"Em pronunciamento hoje, Tarcísio de Freitas propõe um conjunto de medidas relacionadas a congresso. Durante evento em Norte, o político destacou a importância de priorizar este tema. Lula também comentou sobre o assunto, expressando opinião contrária. ",2025-06-04,UOL,https://exemplo.com/uol/congresso/9,UOL Notícias,congresso,neutro,"[{'texto': 'Tarcísio de Freitas propõe medidas sobre congresso em Norte', 'aspecto': 'congresso', 'sentimento': 'neutro', 'relevancia': 1}, {'texto': 'Em pronunciamento hoje, Tarcísio de Freitas propõe um conjunto de medidas relacionadas a congresso.', 'aspecto': 'congresso', 'sentimento': 'neutro', 'relevancia': 1}, {'texto': 'Durante evento em Norte, o político destacou a importância de priorizar este tema.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Lula também comentou sobre o assunto, expressando opinião contrária.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}]",4,,Norte,congresso,"['Tarcísio de Freitas', 'Lula']"
Lula anuncia medidas sobre reforma em São Paulo,"Em pronunciamento hoje, Lula anuncia um conjunto de medidas relacionadas a reforma. Durante evento em São Paulo, o político destacou a importância de priorizar este tema. Cláudio Castro também comentou sobre o assunto, expressando opinião contrária. ",2025-05-10,UOL,https://exemplo.com/uol/reforma/10,UOL Notícias,outros,neutro,"[{'texto': 'Lula anuncia medidas sobre reforma em São Paulo', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Em pronunciamento hoje, Lula anuncia um conjunto de medidas relacionadas a reforma.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Durante evento em São Paulo, o político destacou a importância de priorizar este tema.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Cláudio Castro também comentou sobre o assunto, expressando opinião contrária.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}]",4,,São Paulo,reforma,"['Lula', 'Cláudio Castro']"
Eduardo Leite aprova medidas sobre segurança em Norte,"Em pronunciamento hoje, Eduardo Leite aprova um conjunto de medidas relacionadas a segurança. Durante evento em Norte, o político destacou a importância de priorizar este tema. Lula também comentou sobre o assunto, expressando opinião contrária. O projeto pretende aumentar o efetivo policial e modernizar equipamentos. ",2025-05-23,UOL,https://exemplo.com/uol/segurança/11,UOL Notícias,outros,neutro,"[{'texto': 'Eduardo Leite aprova medidas sobre segurança em Norte', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Em pronunciamento hoje, Eduardo Leite aprova um conjunto de medidas relacionadas a segurança.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Durante evento em Norte, o político destacou a importância de priorizar este tema.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Lula também comentou sobre o assunto, expressando opinião contrária.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'O projeto pretende aumentar o efetivo policial e modernizar equipamentos.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}]",5,,Norte,segurança,"['Eduardo Leite', 'Lula']"
Eduardo Leite questiona medidas sobre saúde em Minas Gerais,"Em pronunciamento hoje, Eduardo Leite questiona um conjunto de medidas relacionadas a saúde. Durante evento em Minas Gerais, o político destacou a importância de priorizar este tema. Tarcísio de Freitas também comentou sobre o assunto, expressando opinião contrária. As medidas visam melhorar o atendimento no SUS e reduzir filas de espera. ",2025-05-22,UOL,https://exemplo.com/uol/saúde/12,UOL Notícias,outros,neutro,"[{'texto': 'Eduardo Leite questiona medidas sobre saúde em Minas Gerais', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Em pronunciamento hoje, Eduardo Leite questiona um conjunto de medidas relacionadas a saúde.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Durante evento em Minas Gerais, o político destacou a importância de priorizar este tema.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Tarcísio de Freitas também comentou sobre o assunto, expressando opinião contrária.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'As medidas visam melhorar o atendimento no SUS e reduzir filas de espera.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}]",5,,Minas Gerais,saúde,"['Eduardo Leite', 'Tarcísio de Freitas']"
Lula discute medidas sobre congresso em Norte,"Em pronunciamento hoje, Lula discute um conjunto de medidas relacionadas a congresso. Durante evento em Norte, o político destacou a importância de priorizar este tema. Eduardo Leite também comentou sobre o assunto, expressando opinião contrária. ",2025-05-12,UOL,https://exemplo.com/uol/congresso/13,UOL Notícias,congresso,neutro,"[{'texto': 'Lula discute medidas sobre congresso em Norte', 'aspecto': 'congresso', 'sentimento': 'neutro', 'relevancia': 1}, {'texto': 'Em pronunciamento hoje, Lula discute um conjunto de medidas relacionadas a congresso.', 'aspecto': 'congresso', 'sentimento': 'neutro', 'relevancia': 1}, {'texto': 'Durante evento em Norte, o político destacou a importância de priorizar este tema.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Eduardo Leite também comentou sobre o assunto, expressando opinião contrária.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}]",4,,Norte,congresso,"['Lula', 'Eduardo Leite']"
Rodrigo Pacheco rejeita medidas sobre saúde em Amazonas,"Em pronunciamento hoje, Rodrigo Pacheco rejeita um conjunto de medidas relacionadas a saúde. Durante evento em Amazonas, o político destacou a importância de priorizar este tema. Lula também comentou sobre o assunto, expressando opinião contrária. As medidas visam melhorar o atendimento no SUS e reduzir filas de espera. ",2025-06-06,UOL,https://exemplo.com/uol/saúde/14,UOL Notícias,outros,neutro,"[{'texto': 'Rodrigo Pacheco rejeita medidas sobre saúde em Amazonas', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Em pronunciamento hoje, Rodrigo Pacheco rejeita um conjunto de medidas relacionadas a saúde.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Durante evento em Amazonas, o político destacou a importância de priorizar este tema.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Lula também comentou sobre o assunto, expressando opinião contrária.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'As medidas visam melhorar o atendimento no SUS e reduzir filas de espera.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}]",5,,Amazonas,saúde,"['Rodrigo Pacheco', 'Lula']"
Cláudio Castro apresenta medidas sobre reforma em Sul,"Em pronunciamento hoje, Cláudio Castro apresenta um conjunto de medidas relacionadas a reforma. Durante evento em Sul, o político destacou a importância de priorizar este tema. Rodrigo Pacheco também comentou sobre o assunto, expressando opinião contrária. ",2025-05-20,UOL,https://exemplo.com/uol/reforma/15,UOL Notícias,outros,neutro,"[{'texto': 'Cláudio Castro apresenta medidas sobre reforma em Sul', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Em pronunciamento hoje, Cláudio Castro apresenta um conjunto de medidas relacionadas a reforma.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Durante evento em Sul, o político destacou a importância de priorizar este tema.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Rodrigo Pacheco também comentou sobre o assunto, expressando opinião contrária.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}]",4,,Sul,reforma,"['Cláudio Castro', 'Rodrigo Pacheco']"
Cláudio Castro discute medidas sobre educação em Norte,"Em pronunciamento hoje, Cláudio Castro discute um conjunto de medidas relacionadas a educação. Durante evento em Norte, o político destacou a importância de priorizar este tema. Lula também comentou sobre o assunto, expressando opinião contrária. O plano prevê investimentos em escolas públicas e valorização dos professores. ",2025-05-20,Estadão,https://exemplo.com/estadão/educação/1,Estadão Política,outros,neutro,"[{'texto': 'Cláudio Castro discute medidas sobre educação em Norte', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Em pronunciamento hoje, Cláudio Castro discute um conjunto de medidas relacionadas a educação.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Durante evento em Norte, o político destacou a importância de priorizar este tema.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Lula também comentou sobre o assunto, expressando opinião contrária.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'O plano prevê investimentos em escolas públicas e valorização dos professores.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}]",5,,Norte,educação,"['Cláudio Castro', 'Lula']"
Arthur Lira veta medidas sobre educação em Brasília,"Em pronunciamento hoje, Arthur Lira veta um conjunto de medidas relacionadas a educação. Durante evento em Brasília, o político destacou a importância de priorizar este tema. Cláudio Castro também comentou sobre o assunto, expressando opinião contrária. O plano prevê investimentos em escolas públicas e valorização dos professores. ",2025-05-30,Estadão,https://exemplo.com/estadão/educação/2,Estadão Política,outros,neutro,"[{'texto': 'Arthur Lira veta medidas sobre educação em Brasília', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Em pronunciamento hoje, Arthur Lira veta um conjunto de medidas relacionadas a educação.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Durante evento em Brasília, o político destacou a importância de priorizar este tema.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Cláudio Castro também comentou sobre o assunto, expressando opinião contrária.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'O plano prevê investimentos em escolas públicas e valorização dos professores.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}]",5,,Brasília,educação,"['Arthur Lira', 'Cláudio Castro']"
Arthur Lira apresenta medidas sobre reforma em Sul,"Em pronunciamento hoje, Arthur Lira apresenta um conjunto de medidas relacionadas a reforma. Durante evento em Sul, o político destacou a importância de priorizar este tema. Cláudio Castro também comentou sobre o assunto, expressando opinião contrária. ",2025-06-01,Estadão,https://exemplo.com/estadão/reforma/3,Estadão Política,outros,neutro,"[{'texto': 'Arthur Lira apresenta medidas sobre reforma em Sul', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Em pronunciamento hoje, Arthur Lira apresenta um conjunto de medidas relacionadas a reforma.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Durante evento em Sul, o político destacou a importância de priorizar este tema.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Cláudio Castro também comentou sobre o assunto, expressando opinião contrária.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}]",4,,Sul,reforma,"['Arthur Lira', 'Cláudio Castro']"
Lula critica medidas sobre judiciário em Norte,"Em pronunciamento hoje, Lula critica um conjunto de medidas relacionadas a judiciário. Durante evento em Norte, o político destacou a importância de priorizar este tema. Tarcísio de Freitas também comentou sobre o assunto, expressando opinião contrária. ",2025-05-09,Estadão,https://exemplo.com/estadão/judiciário/4,Estadão Política,outros,neutro,"[{'texto': 'Lula critica medidas sobre judiciário em Norte', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Em pronunciamento hoje, Lula critica um conjunto de medidas relacionadas a judiciário.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Durante evento em Norte, o político destacou a importância de priorizar este tema.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}, {'texto': 'Tarcísio de Freitas também comentou sobre o assunto, expressando opinião contrária.', 'aspecto': 'outros', 'sentimento': 'neutro', 'relevancia': 0}]",4,,Norte,judiciário,"['Lula', 'Tarcísio de Freitas']"
